locality_id,suburb_name,locality_class,state,lat,lon
loc7017099bf77a,Boort,Gazetted Locality,VIC,-36.123555,143.741931
loc933e2fc51c06,Boosey,Gazetted Locality,VIC,-36.048053,145.795782
loc90cfc568ec13,Boralma,Gazetted Locality,VIC,-36.236339,146.406774
loc4de93c9d945d,Bornes Hill,Gazetted Locality,VIC,-37.529484,142.489865
loc7d9d9818d4b9,Boronia,Gazetted Locality,VIC,-37.853818,145.289567
loce543f29759c6,Borung,Gazetted Locality,VIC,-36.287499,143.776463
loc0786a28dd2a5,Bostocks Creek,Gazetted Locality,VIC,-38.301871,143.117548
locc24586754a19,Botanic Ridge,Gazetted Locality,VIC,-38.135935,145.254264
loc32648f5f8779,Boundary Bend,Gazetted Locality,VIC,-34.72981,143.098047
loc51073e66e2d2,Bowenvale,Gazetted Locality,VIC,-37.004665,143.701727
loc195f12d6882f,Boweya,Gazetted Locality,VIC,-36.276854,146.115238
loc3549fec27c38,Boweya North,Gazetted Locality,VIC,-36.234418,146.106009
loce7c31dfc7645,Bowmans Forest,Gazetted Locality,VIC,-36.469921,146.623425
locb055480620d6,Bowser,Gazetted Locality,VIC,-36.309321,146.362051
loca5de38b84720,Box Hill,Gazetted Locality,VIC,-37.821321,145.126127
locc89665bfa152,Box Hill North,Gazetted Locality,VIC,-37.805906,145.129092
loc6ae7eaa3c1f3,Box Hill South,Gazetted Locality,VIC,-37.836063,145.123475
loc04430bdf0f64,Boxwood,Gazetted Locality,VIC,-36.320949,145.806204
loce5c522e6590e,Bradford,Gazetted Locality,VIC,-36.921688,144.059758
locad5720b52b51,Bradvale,Gazetted Locality,VIC,-37.794795,143.365663
loc0ea7f7dc5047,Braeside,Gazetted Locality,VIC,-38.001989,145.12373
loca2d931c486c4,Brandy Creek,Gazetted Locality,VIC,-38.103691,145.915179
loc387e057eab15,Branxholme,Gazetted Locality,VIC,-37.843087,141.809552
locf731bb317ccc,Bravington,Gazetted Locality,VIC,-38.082492,145.923126
loc01478eda4021,Braybrook,Gazetted Locality,VIC,-37.784634,144.855553
loc7f67133a4bdf,Breakaway Creek,Gazetted Locality,VIC,-38.032768,141.83025
loc8a97c8ce83aa,Breakwater,Gazetted Locality,VIC,-38.177189,144.37412
loc96c2ce4280fb,Breamlea,Gazetted Locality,VIC,-38.294182,144.387504
locb0f9b4b6df74,Brenanah,Gazetted Locality,VIC,-36.566824,143.715289
loc8403c5bea054,Brewster,Gazetted Locality,VIC,-37.496176,143.529398
loce787c138c232,Briagolong,Gazetted Locality,VIC,-37.809555,147.085089
locf1ab93029011,Briar Hill,Gazetted Locality,VIC,-37.70607,145.123544
loc806561c3d7fa,Bridge Creek,Gazetted Locality,VIC,-36.904028,146.102942
