LOC_PID,LOC_NAME,LOC_CLASS,STATE,lat,lon
loc5899edefdaff,Bonang,Gazetted Locality,VIC,-37.14889258047451,148.6478498573543
locc70453923b8e,Bonbeach,Gazetted Locality,VIC,-38.06299791802085,145.12793826609263
locaedc1a0bcb5a,Bonegilla,Gazetted Locality,VIC,-36.144417621806305,146.98555594689748
loced6917ed9b9b,Boneo,Gazetted Locality,VIC,-38.40833112415413,144.90181929297637
loc46f79f2dbf45,Bonn,Gazetted Locality,VIC,-36.413066247132406,144.71829574597524
loccaf1b7ac7ed3,Bonnie Brook,Gazetted Locality,VIC,-37.7002386509927,144.67709539766048
loc4dcb7972b14a,Bonnie Doon,Gazetted Locality,VIC,-37.01399732066945,145.86477452637632
locb2505e62d563,Bonshaw,Gazetted Locality,VIC,-37.60377346035217,143.81348974638618
locd3986508c3f1,Bookaar,Gazetted Locality,VIC,-38.11073435111342,143.0808155440683
locd7929741c9ff,Boola,Gazetted Locality,VIC,-38.05194302220369,146.46680247810428
loc2cdd54fb79b9,Boolarong,Gazetted Locality,VIC,-38.56565389662896,146.25896240045768
loc961e71bc6343,Boolarra,Gazetted Locality,VIC,-38.38228175193134,146.2773893798911
